学校,官网,招生网
东北农业大学,http://www.neau.edu.cn,http://zsb.neau.edu.cn/Default.aspx
上海第二工业大学,http://www.sspu.cn,http://zsb.sspu.edu.cn/
天津中医药大学,http://www.tjutcm.edu.cn,http://zsjy.tjutcm.edu.cn/zsxx.htm
内蒙古工业大学,http://www.imut.edu.cn,http://zjc.imut.edu.cn/gdzsb/
丽水学院,http://www.lsu.edu.cn,http://zsw.lsu.edu.cn/
广西医科大学,http://www.gxmu.edu.cn,http://zjc.gxmu.edu.cn/
四川大学锦城学院,http://www.scujcc.com.cn/,http://zs.scujcc.cn/
泉州师范学院,http://www.qztc.edu.cn,http://qztc.good-edu.cn/
辽宁工程技术大学,http://www.lntu.edu.cn,http://202.199.224.162:8080/
陕西科技大学,http://www.sust.edu.cn/,http://yjsxy.www.sust.edu.cn/zhaosheng.jsp?urltype
外交学院,http://www.cfau.edu.cn,http://zs.cfau.edu.cn/
中华女子学院,http://www.cwu.edu.cn,http://zhaosheng.cwu.edu.cn/bkzsw_new/
中国石油大学(华东),http://www.upc.edu.cn,http://zhaosheng.upc.edu.cn/
内蒙古财经大学,http://www.imfec.edu.cn,http://www.imufe.edu.cn/main/zsjy/
河北医科大学,http://www.hebmu.edu.cn,http://zsb.hebmu.edu.cn/
河北工程大学,http://www.hebeu.edu.cn,http://202.206.172.35/
华北科技学院,http://www.ncist.edu.cn,http://zsjy.ncist.edu.cn/index.php/main
